Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/04/2019,AQS,170311016,4,31,ug/m3 SC,29,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/04/2020,AQS,170311016,4,20,ug/m3 SC,19,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/04/2020,AQS,170314201,1,8,ug/m3 SC,7,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/04/2020,AQS,170314201,9,6,ug/m3 SC,6,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/04/2020,AQS,171191007,1,15,ug/m3 SC,14,FIRESTATION #1,1,100.0,81102,PM10 Total 0-10um STP,63,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.7045342604079,-90.1396748417377
01/05/2011,AQS,170310022,4,18,ug/m3 SC,17,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2011,AQS,170311016,4,28,ug/m3 SC,26,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,76,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/05/2012,AQS,170310022,4,32,ug/m3 SC,30,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2012,AQS,170311016,4,24,ug/m3 SC,22,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/05/2013,AQS,170310022,4,27,ug/m3 SC,25,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2014,AQS,170310022,4,51,ug/m3 SC,47,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2014,AQS,170314201,1,38,ug/m3 SC,35,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/05/2014,AQS,170314201,9,25,ug/m3 SC,23,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/05/2015,AQS,170310022,4,23,ug/m3 SC,21,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2015,AQS,170311016,4,27,ug/m3 SC,25,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/05/2016,AQS,170310022,4,19,ug/m3 SC,18,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2016,AQS,170311016,4,22,ug/m3 SC,20,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/05/2017,AQS,170310022,4,9,ug/m3 SC,8,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2017,AQS,170311016,4,10,ug/m3 SC,9,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/05/2018,AQS,170310022,4,38,ug/m3 SC,35,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2018,AQS,170311016,4,25,ug/m3 SC,23,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/05/2019,AQS,170310022,4,33,ug/m3 SC,31,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/05/2019,AQS,170311016,4,23,ug/m3 SC,21,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/05/2020,AQS,170311016,4,20,ug/m3 SC,19,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/06/2011,AQS,170310022,4,17,ug/m3 SC,16,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2011,AQS,170311016,4,19,ug/m3 SC,18,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,76,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/06/2012,AQS,170310022,4,42,ug/m3 SC,39,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2012,AQS,170311016,4,32,ug/m3 SC,30,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/06/2013,AQS,170310022,4,34,ug/m3 SC,31,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2014,AQS,170310022,4,15,ug/m3 SC,14,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2015,AQS,170310022,4,18,ug/m3 SC,17,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2015,AQS,170311016,4,22,ug/m3 SC,20,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/06/2015,AQS,170314201,1,11,ug/m3 SC,10,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/06/2015,AQS,170314201,9,7,ug/m3 SC,6,NORTHBROOK WATER PLANT,1,100.0,81102,PM10 Total 0-10um STP,63,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/06/2016,AQS,170310022,4,23,ug/m3 SC,21,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2016,AQS,170311016,4,33,ug/m3 SC,31,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/06/2017,AQS,170310022,4,13,ug/m3 SC,12,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2017,AQS,170311016,4,12,ug/m3 SC,11,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
01/06/2018,AQS,170310022,4,40,ug/m3 SC,37,WASHINGTON HS,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6871654376343,-87.5393154841479
01/06/2018,AQS,170311016,4,23,ug/m3 SC,21,VILLAGE HALL,1,100.0,81102,PM10 Total 0-10um STP,122,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.80118,-87.832349
